City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,East London,ZA,79.74,clear sky,-33.0153,27.9116,Tu Casa
3,San Patricio,US,76.89,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
4,Jiwani,PK,85.6,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
6,Quatre Cocos,MU,77.09,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
7,Manono,CD,79.9,broken clouds,-7.3,27.4167,Hotel hewa bora
10,Dingle,PH,88.23,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
11,Fort-Shevchenko,KZ,80.49,clear sky,44.5086,50.263000000000005,Oasis hotel Bautino
14,Libreville,GA,82.42,few clouds,0.3925,9.4537,Hotel Re-Ndama
20,Mafinga,TZ,75.45,clear sky,-7.25,35.0667,
22,Tabou,CI,80.1,broken clouds,4.423,-7.3528,hotêl doufoulougou
26,Sibu,MY,89.67,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
28,Ambulu,ID,83.21,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
31,Alappuzha,IN,83.39,overcast clouds,9.49,76.3264,Panoramic Sea Resort
32,Atuona,PF,79.36,scattered clouds,-9.8,-139.0333,Villa Enata
34,Santa Marta,CO,84.97,overcast clouds,11.2408,-74.199,Casa de Isabella
37,Kutum,SD,86.07,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
41,Auki,SB,77.79,overcast clouds,-8.7676,160.7034,Auki Motel
44,Butaritari,KI,82.31,moderate rain,3.0707,172.7902,Isles Sunset Lodge
46,Saint-Philippe,RE,78.35,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
48,Souillac,MU,77.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
49,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
51,Port Alfred,ZA,75.24,clear sky,-33.5906,26.891,The Halyards Hotel
54,Sembe,CG,81.84,few clouds,1.6481,14.5806,
55,Korla,CN,81.19,broken clouds,41.7597,86.1469,Gulisitan Hotel
60,Saint-Pierre,RE,78.44,light rain,-21.3393,55.4781,Lindsey Hôtel
