City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nikolskoye,59.7035,30.7861,54.81,78,98,13.76,overcast clouds
1,Albany,42.6001,-73.9662,50.81,78,73,3.04,broken clouds
2,Pangnirtung,66.1451,-65.7125,7.83,79,87,7.49,overcast clouds
3,Cidreira,-30.1811,-50.2056,55.74,73,93,24.99,overcast clouds
4,Chokurdakh,70.6333,147.9167,30.83,95,40,4.68,scattered clouds
5,Rikitea,-23.1203,-134.9692,75.11,77,90,7.05,overcast clouds
6,Saint-Philippe,-21.3585,55.7679,76.55,82,96,11.77,light rain
7,Jamestown,42.097,-79.2353,60.85,81,40,3.0,scattered clouds
8,Khatanga,71.9667,102.5,34.99,100,100,4.99,overcast clouds
9,Vanavara,60.34,102.2797,64.2,31,100,10.98,overcast clouds
10,Carnarvon,-24.8667,113.6333,71.67,49,40,21.85,scattered clouds
11,Bull Savanna,17.8868,-77.5902,73.85,82,100,6.42,overcast clouds
12,Tumkur,13.3422,77.1017,85.73,49,43,13.09,scattered clouds
13,Atuona,-9.8,-139.0333,79.77,80,22,20.29,few clouds
14,Mataura,-46.1927,168.8643,42.03,76,79,2.35,broken clouds
15,Longyearbyen,78.2186,15.6401,31.84,59,20,8.05,few clouds
16,Ilulissat,69.2167,-51.1,37.42,38,75,18.41,broken clouds
17,Asau,46.4333,26.4,61.39,73,2,3.4,clear sky
18,Xiamen,24.4798,118.0819,91.45,66,40,13.42,light rain
19,San Patricio,28.017,-97.5169,78.66,94,18,7.25,few clouds
20,Aketi,2.7388,23.7833,80.02,63,85,3.27,overcast clouds
21,Ushuaia,-54.8,-68.3,38.86,93,75,13.8,light rain
22,Bubaque,11.2833,-15.8333,79.25,67,24,8.48,few clouds
23,Saskylakh,71.9167,114.0833,40.62,100,100,17.38,overcast clouds
24,Itoman,26.1247,127.6694,88.18,84,20,14.97,few clouds
25,Hilo,19.7297,-155.09,74.8,94,75,0.0,light rain
26,Gat,31.61,34.7642,79.39,49,2,4.27,clear sky
27,Cape Town,-33.9258,18.4232,68.41,49,0,10.31,clear sky
28,Quirinopolis,-18.4483,-50.4517,58.03,81,100,5.93,overcast clouds
29,Flinders,-34.5833,150.8552,64.2,87,80,1.01,broken clouds
30,Thompson,55.7435,-97.8558,41.16,87,40,4.61,scattered clouds
31,Kumhari,21.2667,81.5167,105.04,16,14,12.88,light rain
32,Yar-Sale,66.8333,70.8333,42.84,38,100,25.39,overcast clouds
33,Half Moon Bay,37.4636,-122.4286,55.24,90,90,9.22,overcast clouds
34,Severo-Kurilsk,50.6789,156.125,42.26,73,100,16.64,overcast clouds
35,Bluff,-46.6,168.3333,45.77,67,65,8.52,broken clouds
36,Ponta Do Sol,32.6667,-17.1,65.03,70,100,7.96,overcast clouds
37,Huarmey,-10.0681,-78.1522,66.51,84,97,8.03,overcast clouds
38,Georgetown,5.4112,100.3354,91.35,62,20,8.05,few clouds
39,Tigre,-34.426,-58.5796,50.0,89,0,5.75,clear sky
40,Shu,43.5983,73.7614,87.21,24,35,4.47,scattered clouds
41,Ribeira Grande,38.5167,-28.7,55.8,76,20,4.61,few clouds
42,Ucluelet,48.9329,-125.5528,53.1,88,100,4.09,overcast clouds
43,Paraiso,9.8383,-83.8656,66.42,97,100,2.62,overcast clouds
44,Norman Wells,65.282,-126.8329,42.84,93,75,3.44,light rain
45,Busselton,-33.65,115.3333,55.09,60,60,14.83,broken clouds
46,Namatanai,-3.6667,152.4333,80.31,85,100,7.7,moderate rain
47,Baglung,28.2719,83.5898,89.15,28,1,7.14,clear sky
48,Dikson,73.5069,80.5464,28.67,77,67,16.11,broken clouds
49,Inuvik,68.3499,-133.7218,31.06,80,75,9.22,broken clouds
50,Bambous Virieux,-20.3428,57.7575,77.25,75,75,13.27,light rain
51,Port Hardy,50.6996,-127.4199,48.38,93,90,2.3,overcast clouds
52,Kurchum,48.5722,83.6542,79.7,26,34,3.56,scattered clouds
53,Nome,64.5011,-165.4064,50.07,57,1,6.91,clear sky
54,Monywa,22.1167,95.1333,102.92,31,72,11.25,broken clouds
55,Vila Velha,-20.3297,-40.2925,75.94,81,0,5.01,clear sky
56,Yellowknife,62.456,-114.3525,38.32,81,75,5.99,broken clouds
57,Mehamn,71.0357,27.8492,38.08,61,92,8.14,overcast clouds
58,Chipurupalle,18.3,83.5667,102.24,19,100,12.06,overcast clouds
59,Olafsvik,64.8945,-23.7142,41.95,79,45,12.77,light rain
60,Punta Arenas,-53.15,-70.9167,35.71,81,75,8.1,broken clouds
61,Anadyr,64.75,177.4833,39.7,95,40,8.81,scattered clouds
62,Shelburne,44.0787,-80.2041,54.75,62,100,7.54,overcast clouds
63,Coquimbo,-29.9533,-71.3436,47.93,72,0,1.45,clear sky
64,East London,-33.0153,27.9116,72.54,28,0,11.5,clear sky
65,Qaanaaq,77.484,-69.3632,20.89,71,11,6.26,few clouds
66,Souillac,-20.5167,57.5167,77.38,78,75,12.06,light rain
67,Bukama,-9.2,25.85,74.66,42,7,3.42,clear sky
68,Puerto Carreno,6.189,-67.4859,75.36,94,100,3.8,moderate rain
69,Mao,39.8885,4.2658,57.76,94,75,3.44,broken clouds
70,Cherskiy,68.75,161.3,52.36,38,5,8.48,clear sky
71,Cairns,-16.9167,145.7667,73.35,89,40,8.05,scattered clouds
72,Tuktoyaktuk,69.4541,-133.0374,27.64,94,12,5.35,few clouds
73,Victoria,22.2855,114.1577,89.58,81,62,1.01,light rain
74,Puerto Leguizamo,-0.1934,-74.7819,71.89,99,92,1.48,overcast clouds
75,Simao,22.7886,100.9748,80.31,63,100,3.71,overcast clouds
76,Kumano,34.3442,132.5894,63.93,96,100,4.92,overcast clouds
77,Hambantota,6.1241,81.1185,88.14,75,75,24.11,broken clouds
78,Vaini,-21.2,-175.2,73.56,78,75,8.05,light rain
79,Lagoa,39.05,-27.9833,59.81,66,100,8.23,overcast clouds
80,Puerto Ayora,-0.7393,-90.3518,73.54,91,15,7.23,few clouds
81,Ahipara,-35.1667,173.1667,59.02,70,100,11.68,overcast clouds
82,Iskateley,67.6803,53.1512,39.97,43,52,3.74,broken clouds
83,Biltine,14.5333,20.9167,92.16,10,6,12.53,clear sky
84,Iqaluit,63.7506,-68.5145,17.33,72,90,2.3,overcast clouds
85,Kapaa,22.0752,-159.319,75.18,78,75,2.55,broken clouds
86,Katherine,-14.4667,132.2667,89.92,24,0,10.42,clear sky
87,Barrow,71.2906,-156.7887,30.22,86,90,17.27,overcast clouds
88,New Norfolk,-42.7826,147.0587,60.3,65,100,2.86,overcast clouds
89,Bengkulu,-3.8004,102.2655,84.15,75,19,6.29,few clouds
90,Hithadhoo,-0.6,73.0833,84.16,71,39,12.46,scattered clouds
91,Kenai,60.5544,-151.2583,53.69,57,1,6.91,clear sky
92,Tasiilaq,65.6145,-37.6368,30.36,78,100,16.49,overcast clouds
93,Pevek,69.7008,170.3133,31.37,87,6,5.21,clear sky
94,Bredasdorp,-34.5322,20.0403,56.52,50,0,5.48,clear sky
95,Mount Gambier,-37.8333,140.7667,67.91,42,100,12.66,overcast clouds
96,Rosetta,31.4044,30.4164,73.09,59,4,8.3,clear sky
97,Kahului,20.8947,-156.47,78.82,77,75,3.44,broken clouds
98,Waingapu,-9.6567,120.2641,83.91,70,97,11.61,overcast clouds
99,Pakokku,21.3333,95.1,98.87,36,91,11.01,overcast clouds
100,Boden,65.8252,21.6886,41.0,99,100,5.23,overcast clouds
101,Hobart,-42.8794,147.3294,60.66,75,75,1.99,broken clouds
102,Fortuna,40.5982,-124.1573,52.2,60,90,3.44,overcast clouds
103,Grindavik,63.8424,-22.4338,46.56,76,75,14.67,broken clouds
104,Porto Velho,-8.7619,-63.9039,75.25,94,75,8.05,light rain
105,Igra,57.5558,53.0547,69.1,73,100,10.63,light rain
106,Cozumel,20.5083,-86.9458,80.58,82,100,11.59,overcast clouds
107,Port Alfred,-33.5906,26.891,70.43,31,1,10.89,clear sky
108,Savannah Bight,16.45,-85.85,79.0,79,100,19.19,overcast clouds
109,Sandpoint,48.2766,-116.5533,53.46,98,90,0.0,light rain
110,Nanortalik,60.1432,-45.2371,35.06,69,100,10.18,overcast clouds
111,Caravelas,-17.7125,-39.2481,71.87,95,100,8.68,overcast clouds
112,Nantucket,41.2835,-70.0995,55.96,71,1,9.22,clear sky
113,Gejiu,23.306,103.1635,68.49,70,96,6.38,overcast clouds
114,Murray Bridge,-35.1167,139.2667,77.43,32,100,18.34,overcast clouds
115,Asilah,35.465,-6.0348,62.56,59,0,4.72,clear sky
116,Castro,-24.7911,-50.0119,43.41,75,36,9.1,scattered clouds
117,Merritt Island,28.5392,-80.672,73.98,70,1,5.53,clear sky
118,Bathsheba,13.2167,-59.5167,79.41,77,100,19.08,overcast clouds
119,Barstow,34.8986,-117.0228,66.9,37,0,5.08,clear sky
120,Eustis,28.8528,-81.6853,67.91,87,1,3.42,clear sky
121,Sao Filipe,14.8961,-24.4956,72.55,80,12,12.39,few clouds
122,Tonantins,-2.8731,-67.8022,72.59,99,42,1.1,scattered clouds
123,Faanui,-16.4833,-151.75,81.41,75,65,7.58,broken clouds
